Title,Company,Reward,Link
공비서 자바/코틀린 리드 개발자,헤렌,합격보상금 100만원,https://www.wanted.co.kr/wd/233000
안드로이드 개발자 (Kotlin),블록체인랩스,합격보상금 100만원,https://www.wanted.co.kr/wd/233609
Back-end Developer (Java/Kotlin),웨이브릿지,합격보상금 100만원,https://www.wanted.co.kr/wd/233753
Kotlin/Java 개발자,크림(KREAM),합격보상금 100만원,https://www.wanted.co.kr/wd/236465
서버 엔지니어 (Kotlin/Spring),페이히어,합격보상금 100만원,https://www.wanted.co.kr/wd/230925
Backend Engineer (Kotlin),코인원(coinone),합격보상금 100만원,https://www.wanted.co.kr/wd/171459
공비서 자바/코틀린 개발자,헤렌,합격보상금 100만원,https://www.wanted.co.kr/wd/137441
Backend Engineer (Java/Kotlin) - Middle,센트비(Sentbe),합격보상금 100만원,https://www.wanted.co.kr/wd/229118
공비서 자바/코틀린 리드 개발자,헤렌,합격보상금 100만원,https://www.wanted.co.kr/wd/233000
안드로이드 개발자 (Kotlin),블록체인랩스,합격보상금 100만원,https://www.wanted.co.kr/wd/233609
Back-end Developer (Java/Kotlin),웨이브릿지,합격보상금 100만원,https://www.wanted.co.kr/wd/233753
Kotlin/Java 개발자,크림(KREAM),합격보상금 100만원,https://www.wanted.co.kr/wd/236465
서버 엔지니어 (Kotlin/Spring),페이히어,합격보상금 100만원,https://www.wanted.co.kr/wd/230925
Backend Engineer (Kotlin),코인원(coinone),합격보상금 100만원,https://www.wanted.co.kr/wd/171459
공비서 자바/코틀린 개발자,헤렌,합격보상금 100만원,https://www.wanted.co.kr/wd/137441
Backend Engineer (Java/Kotlin) - Middle,센트비(Sentbe),합격보상금 100만원,https://www.wanted.co.kr/wd/229118
Sr. Backend Developer (Kotlin/Spring Boot),디렉셔널,합격보상금 100만원,https://www.wanted.co.kr/wd/240731
