Title,Company,Reward,Link
프론트엔드 (NextJS) 테크 리드,언더밀리,합격보상금 100만원,https://www.wanted.co.kr/wd/235033
"대기업 커머스 재구축 프로젝트 개발(ReactJS, NextJS, JAVA)",이그레브,합격보상금 100만원,https://www.wanted.co.kr/wd/224679
"Back-end 개발자 (Node.js, React, Express, Next.js), 병특",딥브레인에이아이,합격보상금 100만원,https://www.wanted.co.kr/wd/107946
"프론트엔드 개발(React/Next.js, 온보딩 지원 콘솔 외)",위메이드(WEMADE),합격보상금 100만원,https://www.wanted.co.kr/wd/243279
모바일(Flutter) 및 웹 프론트엔드(NextJs) 개발자,심버스,합격보상금 100만원,https://www.wanted.co.kr/wd/242997
[Next.js/React] Front-end Engineer,디써클,합격보상금 100만원,https://www.wanted.co.kr/wd/237846
글로벌 HR 플랫폼: Next.js 프론트 리드개발자,후플렉스,합격보상금 100만원,https://www.wanted.co.kr/wd/242187
프론트엔드 (NextJS) 테크 리드,언더밀리,합격보상금 100만원,https://www.wanted.co.kr/wd/235033
"대기업 커머스 재구축 프로젝트 개발(ReactJS, NextJS, JAVA)",이그레브,합격보상금 100만원,https://www.wanted.co.kr/wd/224679
"Back-end 개발자 (Node.js, React, Express, Next.js), 병특",딥브레인에이아이,합격보상금 100만원,https://www.wanted.co.kr/wd/107946
"프론트엔드 개발(React/Next.js, 온보딩 지원 콘솔 외)",위메이드(WEMADE),합격보상금 100만원,https://www.wanted.co.kr/wd/243279
모바일(Flutter) 및 웹 프론트엔드(NextJs) 개발자,심버스,합격보상금 100만원,https://www.wanted.co.kr/wd/242997
[Next.js/React] Front-end Engineer,디써클,합격보상금 100만원,https://www.wanted.co.kr/wd/237846
글로벌 HR 플랫폼: Next.js 프론트 리드개발자,후플렉스,합격보상금 100만원,https://www.wanted.co.kr/wd/242187
